First Name,Last Name Initial,Coolness,Length of First Name,Distance,is_Cool
Raymond,V,61,7,4,0
Helen,R,24,5,10,0
Tierra,J,92,6,10,1
John,M,92,4,3,1
Sidney,N,22,6,5,0
Ann,K,21,3,10,0
Catherine,G,0,9,4,0
Mildred,I,23,7,4,0
Sofia,M,90,5,6,1
Rubin,E,11,5,13,0
Edward,G,36,6,2,0
Daniel,A,37,6,3,0
Janet,P,40,5,6,0
Brian,J,48,5,8,0
William,F,61,7,17,0
Robert,U,20,6,3,0
Katrina,Z,26,7,15,0
Christina,I,2,9,6,0
Helen,B,56,5,6,0
Gary,R,31,4,11,0
Diane,O,83,5,11,1
Jennifer,I,90,8,1,1
James,I,75,5,1,0
Mathew,S,45,6,6,0
Rachel,K,84,6,7,1
Timothy,E,82,7,15,1
Shirley,F,42,7,13,0
Dorothy,E,97,7,1,1
Michael,J,36,7,3,0
Luis,V,49,4,10,0
Brenda,Q,67,6,15,0
Minnie,P,18,6,3,0
Francis,C,48,7,3,0
Shannon,M,61,7,6,0
Rose,G,39,4,11,0
Bettye,F,14,6,4,0
Teresa,Y,71,6,5,0
Patricia,I,72,8,7,0
Tracy,Z,29,5,6,0
Noah,Z,38,4,12,0
William,Z,44,7,3,0
Brian,N,24,5,12,0
Amanda,N,34,6,13,0
Eric,N,41,4,9,0
Evan,F,90,4,1,1
Annette,G,58,7,6,0
Don,U,74,3,17,0
Donald,N,40,6,10,0
Charles,N,36,7,11,0
Bess,Y,11,4,23,0
Marilyn,X,75,7,11,0
David,C,45,5,1,0
Ester,G,83,5,2,1
Nancy,T,11,5,6,0
Charlotte,A,72,9,2,0
Gregory,D,19,7,3,0
Belinda,M,20,7,11,0
Virgil,M,69,6,9,0
Vicente,O,91,7,7,1
Claude,H,97,6,5,1
Laverne,U,53,7,9,0
Diane,B,51,5,2,0
Barbara,D,80,7,2,1
Coy,P,63,3,13,0
Barbara,D,80,7,2,1
Virginia,B,79,8,20,1
Fannie,I,82,6,3,1
Jack,U,10,4,11,0
Ricky,Z,68,5,8,0
Kathryn,P,66,7,5,0
Miguel,W,46,6,10,0
Mary,L,57,4,1,0
Dennis,K,94,6,7,1
Wilson,Z,19,6,3,0
Darrin,Q,45,6,13,0
Kent,N,81,4,3,1
Linda,E,38,5,7,0
Tracey,M,32,6,7,0
Jerry,E,76,5,5,1
Ruth,A,18,4,17,0
Christopher,N,13,11,11,0
Roger,O,81,5,3,1
Michael,I,27,7,4,0
Marylou,I,38,7,4,0
Nancy,S,94,5,5,1
Ashley,G,62,6,6,0
Elmer,O,58,5,10,0
Bernadine,Z,65,9,24,0
Mack,I,48,4,4,0
Gina,N,21,4,7,0
Joseph,S,14,6,9,0
Melody,V,25,6,9,0
Joseph,L,47,6,2,0
Junior,C,88,6,7,1
Connie,O,54,6,12,0
Sharon,G,8,6,12,0
Courtney,X,19,8,21,0
Mona,P,59,4,3,0
Chris,D,42,5,1,0
Harvey,Y,36,6,17,0
Melissa,C,72,7,10,0
Lonnie,A,18,6,11,0
James,J,1,5,0,0
Dale,Q,69,4,13,0
Brian,Z,19,5,24,0
Angela,C,85,6,2,1
Peggy,T,37,5,4,0
Roxanne,Z,45,7,8,0
Harvey,F,35,6,2,0
Gene,V,46,4,15,0
Thomas,B,90,6,18,1
Ann,K,99,3,10,1
Jeremiah,O,86,8,5,1
Lauren,X,51,6,12,0
Virginia,R,68,8,4,0
Aaron,R,3,5,17,0
Jean,X,77,4,14,1
Gloria,S,27,6,12,0
Mary,C,96,4,10,1
Carol,V,44,5,19,0
Jerome,W,54,6,13,0
Amber,U,59,5,20,0
Kelly,H,66,5,3,0
Scott,K,19,5,8,0
Santiago,H,30,8,11,0
John,Z,56,4,16,0
Annie,D,23,5,3,0
Jack,L,96,4,2,1
Silvia,V,50,6,3,0
Benjamin,I,44,8,7,0
Nicholas,G,54,8,7,0
Melody,O,48,6,2,0
Roberta,L,58,7,6,0
William,G,59,7,16,0
Carrie,U,26,6,18,0
Nancy,F,1,5,8,0
Deborah,N,55,7,10,0
Kerry,Z,77,5,15,1
Brandon,C,45,7,1,0
Alvera,U,74,6,20,0
Jimmy,K,71,5,1,0
Douglas,B,65,7,2,0
Shaunta,T,41,7,1,0
Dudley,C,95,6,1,1
Karen,U,68,5,10,0
Jonathan,F,62,8,4,0
Blanche,K,30,7,9,0
Leonardo,T,34,8,8,0
Charles,N,42,7,11,0
Glenn,N,16,5,7,0
Lisa,G,36,4,5,0
Donald,S,75,6,15,0
Marilyn,I,32,7,4,0
Angelo,F,69,6,5,0
Phillip,B,20,7,14,0
Edith,F,11,5,1,0
Roberto,B,21,7,16,0
Frederick,A,21,9,5,0
Valerie,A,82,7,21,1
Catherine,G,69,9,4,0
Donna,S,46,5,15,0
Amy,D,43,3,3,0
Amanda,D,66,6,3,0
James,O,42,5,5,0
Jana,T,58,4,10,0
Claude,F,49,6,3,0
Jeffrey,N,95,7,4,1
Brendan,L,49,7,10,0
Michael,C,39,7,10,0
Jeanne,A,55,6,9,0
Valeria,U,34,7,1,0
Bryant,E,10,6,3,0
Shelly,C,45,6,16,0
Anna,X,46,4,23,0
Ruby,W,85,4,5,1
Mae,R,58,3,5,0
Valerie,N,79,7,8,1
Steve,V,35,5,3,0
Mercedes,H,20,8,5,0
Karen,W,58,5,12,0
Alison,B,93,6,1,1
Tiffany,E,6,7,15,0
Alice,A,85,5,0,1
Ruth,F,30,4,12,0
Lavina,R,55,6,6,0
Rosa,K,46,4,7,0
Kenneth,X,43,7,13,0
Bill,R,43,4,16,0
Sergio,V,55,6,3,0
Michael,Y,32,7,12,0
Adriana,O,74,7,14,0
Virgie,Z,1,6,4,0
Daryl,X,56,5,20,0
Jimmy,E,24,5,5,0
Clara,J,4,5,7,0
James,D,86,5,6,1
Joyce,A,77,5,9,1
Annie,H,81,5,7,1
Mary,C,15,4,10,0
Philip,D,64,6,12,0
Emily,E,69,5,0,0
Tara,U,42,4,1,0
Stephanie,L,13,9,7,0
Bernadette,E,69,10,3,0
Byron,R,18,5,16,0
Kelly,U,66,5,10,0
Mary,B,19,4,11,0
Bonnie,O,92,6,13,1
Marvin,K,49,6,2,0
Mirta,M,27,5,0,0
Gerardo,V,2,7,15,0
Shana,Q,20,5,2,0
Alfredo,F,69,7,5,0
Francisco,I,17,9,3,0
Elsie,B,70,5,3,0
Elizabeth,H,20,9,3,0
Maria,E,62,5,8,0
Cecil,F,27,5,3,0
Mark,B,64,4,11,0
Kristen,C,65,7,8,0
Sherri,B,31,6,17,0
Walter,J,8,6,13,0
Kelly,A,61,5,10,0
Nancy,A,32,5,13,0
Daisy,N,7,5,10,0
Bernita,Z,21,7,24,0
Geneva,D,33,6,3,0
Josephine,F,43,9,4,0
Shirley,U,14,7,2,0
Lisa,J,3,4,2,0
Randy,J,37,5,8,0
Tammy,D,41,5,16,0
Gustavo,J,24,7,3,0
Nancy,L,48,5,2,0
Bruce,L,19,5,10,0
Thomas,P,9,6,4,0
John,B,18,4,8,0
Robert,Z,62,6,8,0
Jamie,D,56,5,6,0
Thelma,S,93,6,1,1
Theron,X,26,6,4,0
Edward,Z,13,6,21,0
Clifford,Y,79,8,22,1
James,S,29,5,9,0
Grover,S,83,6,12,1
Sonia,T,64,5,1,0
Karla,Z,42,5,15,0
Sharon,R,99,6,1,1
Floyd,K,19,5,5,0
Frederick,E,6,9,1,0
Cynthia,Q,50,7,14,0
Albert,G,22,6,6,0
Angela,T,30,6,19,0
Kevin,K,84,5,0,1
Richard,W,51,7,5,0
Frances,T,75,7,14,0
Mark,C,0,4,10,0
Patricia,S,49,8,3,0
Milton,A,52,6,12,0
Daisy,I,86,5,5,1
Isabel,M,37,6,4,0
Jarod,D,72,5,6,0
Ron,Y,96,3,7,1
Helen,M,70,5,5,0
Kristen,X,12,7,13,0
Seth,Q,98,4,2,1
George,S,83,6,12,1
Christina,L,65,9,9,0
Ryan,V,32,4,4,0
James,R,37,5,8,0
Sharyl,E,69,6,14,0
Cynthia,O,58,7,12,0
Roderick,N,70,8,4,0
Kelly,O,19,5,4,0
Paul,I,97,4,7,1
Dana,M,18,4,9,0
Donna,K,54,5,7,0
Philomena,P,64,9,0,0
Amada,U,14,5,20,0
Tracy,R,27,5,2,0
Erica,Z,38,5,21,0
Jennifer,A,86,8,9,1
Donald,H,79,6,4,1
Debra,O,6,5,11,0
Mary,G,23,4,6,0
Evelyn,C,4,6,2,0
William,L,30,7,11,0
Florence,S,55,8,13,0
Mildred,J,54,7,3,0
Kami,Z,50,4,15,0
Kathryn,M,28,7,2,0
Manuel,I,94,6,4,1
Danielle,E,9,8,1,0
Jennifer,U,81,8,11,1
Christine,W,15,9,20,0
Cynthia,Y,61,7,22,0
Mason,A,87,5,12,1
William,S,0,7,4,0
William,W,29,7,0,0
Rudy,N,49,4,4,0
Ricardo,P,74,7,2,0
Victor,G,15,6,15,0
Gary,J,28,4,3,0
Noel,O,42,4,1,0
Felicia,N,91,7,8,1
Ester,S,94,5,14,1
Derek,E,68,5,1,0
Robert,T,54,6,2,0
Arlene,U,66,6,20,0
Daniel,I,50,6,5,0
Leland,Q,46,6,5,0
Deborah,B,95,7,2,1
Frances,R,11,7,12,0
Arthur,Q,53,6,16,0
Megan,C,85,5,10,1
Jeffrey,E,11,7,5,0
Owen,B,50,4,13,0
Pamela,L,69,6,4,0
Kyle,Z,40,4,15,0
Cynthia,U,97,7,18,1
Shirley,V,83,7,3,1
Brittney,H,98,8,6,1
Florence,S,22,8,13,0
Thomas,N,16,6,6,0
Patricia,D,4,8,12,0
Christopher,O,100,11,12,1
Nicole,Z,24,6,12,0
Alex,A,63,4,0,0
Maryann,V,4,7,9,0
Pearl,Q,68,5,1,0
Kim,W,74,3,12,0
Guillermo,B,37,9,5,0
Elisa,M,63,5,8,0
Virginia,C,84,8,19,1
Donna,W,50,5,19,0
Otto,N,55,4,1,0
Kelly,H,97,5,3,1
Michael,N,63,7,1,0
Giuseppina,N,81,10,7,1
George,E,48,6,2,0
Patricia,U,16,8,5,0
Andrew,R,3,6,17,0
Oscar,Q,22,5,2,0
Rosie,Q,74,5,1,0
Robert,Q,31,6,1,0
James,K,83,5,1,1
Jim,H,32,3,2,0
Joann,C,34,5,7,0
Maynard,Q,99,7,4,1
Jeffrey,D,33,7,6,0
Leila,X,78,5,12,1
Brandy,P,1,6,14,0
Charlie,C,85,7,0,1
Alexandra,C,22,9,2,0
Ricardo,H,51,7,10,0
Franklin,N,83,8,8,1
Hugh,P,69,4,8,0
Leticia,H,44,7,4,0
Shawn,X,62,5,5,0
Cecelia,O,68,7,12,0
Edith,W,53,5,18,0
Grace,E,72,5,2,0
Christopher,D,53,11,1,0
Clayton,X,90,7,21,1
Jose,U,4,4,11,0
Catherine,O,64,9,12,0
Shane,R,38,5,1,0
Thomas,G,66,6,13,0
Sallie,S,71,6,0,0
Amber,L,53,5,11,0
Joshua,X,21,6,14,0
Ruben,N,65,5,4,0
Sammie,O,74,6,4,0
Michael,I,34,7,4,0
Jan,Q,80,3,7,1
Robert,L,76,6,6,1
Elvin,D,16,5,1,0
Geneva,F,1,6,1,0
Rebecca,R,50,7,0,0
Tonya,L,88,5,8,1
Elizabeth,N,6,9,9,0
Julia,U,60,5,11,0
Danny,P,89,5,12,1
Donna,H,56,5,4,0
Deborah,E,67,7,1,0
Pedro,S,56,5,3,0
Kristin,F,89,7,5,1
Ronald,M,5,6,5,0
Eva,H,6,3,3,0
Drema,B,57,5,2,0
Eloisa,C,92,6,2,1
Jon,W,55,3,13,0
Gail,B,66,4,5,0
Peter,G,74,5,9,0
Stephen,R,51,7,1,0
Mabel,K,66,5,2,0
Alice,D,91,5,3,1
Margaret,T,36,8,7,0
Mack,K,70,4,2,0
Daniel,A,53,6,3,0
Cathy,E,32,5,2,0
Julia,B,90,5,8,1
Thomas,M,18,6,7,0
Maryann,J,36,7,3,0
Victor,F,0,6,16,0
Shannon,G,46,7,12,0
Jessica,F,93,7,4,1
John,B,58,4,8,0
Brittany,T,46,8,18,0
James,X,74,5,14,0
Timothy,Q,54,7,3,0
Melissa,D,19,7,9,0
Donna,B,81,5,2,1
Rebecca,Z,26,7,8,0
David,W,100,5,19,1
Mary,H,30,4,5,0
Debra,O,52,5,11,0
Diane,X,94,5,20,1
Michael,F,47,7,7,0
Leon,X,67,4,12,0
James,O,91,5,5,1
Ike,Y,11,3,16,0
Idella,F,8,6,3,0
Lisa,Z,89,4,14,1
Chris,E,55,5,2,0
James,L,45,5,2,0
Tom,I,12,3,11,0
Vern,Y,47,4,3,0
Joseph,A,3,6,9,0
Jared,E,41,5,5,0
Julie,Y,80,5,15,1
Juan,Y,96,4,15,1
Diane,O,50,5,11,0
Larry,X,4,5,12,0
Jennie,T,63,6,10,0
William,M,18,7,10,0
Katherine,B,64,9,9,0
James,P,78,5,6,1
Teresa,Y,96,6,5,1
Chandra,X,92,7,21,1
Wanda,B,23,5,21,0
David,P,83,5,12,1
Deloris,Q,12,7,13,0
Cynthia,I,85,7,6,1
Elizabeth,H,24,9,3,0
Heather,M,5,7,5,0
Scott,Q,83,5,2,1
Araceli,A,44,7,0,0
Bryan,U,16,5,19,0
Alexis,B,86,6,1,1
Gladys,Q,69,6,10,0
Kevin,Z,55,5,15,0
Noah,Z,51,4,12,0
Inge,C,11,4,6,0
David,N,53,5,10,0
Julio,P,19,5,6,0
Rueben,D,52,6,14,0
Cora,D,57,4,1,0
Darryl,I,6,6,5,0
Arnold,L,93,6,11,1
Katherine,F,34,9,5,0
Roger,L,57,5,6,0
Anthony,U,5,7,20,0
William,M,50,7,10,0
Nickolas,M,37,8,1,0
Marjorie,E,70,8,8,0
Glenna,R,92,6,11,1
Diana,B,79,5,2,1
Jason,I,100,5,1,1
Brinda,C,49,6,1,0
Dawn,T,78,4,16,1
Betty,R,43,5,16,0
Elijah,B,71,6,3,0
Mario,U,20,5,8,0
Kelly,E,45,5,6,0
Joseph,Y,5,6,15,0
Curt,X,92,4,21,1
Thomas,V,92,6,2,1
Margaret,N,68,8,1,0
Anita,B,95,5,1,1
Robert,V,42,6,4,0
Walter,Q,54,6,6,0
William,Y,11,7,2,0
Denisha,A,33,7,3,0
Judy,E,21,4,5,0
Randolph,N,73,8,4,0
Dennis,Y,67,6,21,0
Larry,R,73,5,6,0
Carl,E,39,4,2,0
Enrique,K,0,7,6,0
Bridgette,H,88,9,6,1
Jennifer,S,39,8,9,0
Debora,Z,33,6,22,0
Mike,R,67,4,5,0
Rodolfo,I,64,7,9,0
Teresita,A,60,8,19,0
Angie,C,44,5,2,0
Joan,Z,84,4,16,1
Douglas,X,90,7,20,1
Cornelius,K,67,9,8,0
Leda,J,81,4,2,1
Herman,M,73,6,5,0
Kerry,E,16,5,6,0
Mary,Y,21,4,12,0
Bernita,N,62,7,12,0
Bettie,M,86,6,11,1
James,T,0,5,10,0
Rene,L,23,4,6,0
Tammy,W,83,5,3,1
Benjamin,T,26,8,18,0
Gloria,O,11,6,8,0
Betty,N,73,5,12,0
Albert,Z,33,6,25,0
Andy,X,94,4,23,1
Herman,X,38,6,16,0
Ronald,K,34,6,7,0
Jane,K,25,4,1,0
Lisa,Z,88,4,14,1
Kevin,L,28,5,1,0
Lisa,V,72,4,10,0
Jason,K,93,5,1,1
Viola,B,57,5,20,0
Ronald,C,99,6,15,1
Christopher,W,10,11,20,0
April,L,5,5,11,0
Margie,R,74,6,5,0
Joshua,F,60,6,4,0
Martha,W,52,6,10,0
Amanda,B,62,6,1,0
Angela,P,81,6,15,1
Jesus,P,25,5,6,0
Amanda,Z,23,6,25,0
Steven,Q,98,6,2,1
Sabrina,J,27,7,9,0
Frances,Q,52,7,11,0
Kristi,U,31,6,10,0
Raymond,H,56,7,10,0
Earl,P,55,4,11,0
Mildred,P,61,7,3,0
Fred,M,2,4,7,0
George,Y,60,6,18,0
Delbert,B,71,7,2,0
Donna,M,67,5,9,0
Matthew,L,99,7,1,1
Loraine,F,11,7,6,0
Susan,F,11,5,13,0
Christina,K,98,9,8,1
Margarita,X,39,9,11,0
Willie,D,65,6,19,0
Charles,M,25,7,10,0
Edward,F,43,6,1,0
Charlotte,N,35,9,11,0
Richard,F,48,7,12,0
Marvin,H,31,6,5,0
Duane,L,7,5,8,0
John,R,83,4,8,1
Beatrice,L,41,8,10,0
Jeff,E,55,4,5,0
Michael,B,58,7,11,0
Rebecca,G,19,7,11,0
Felicia,B,74,7,4,0
Bertha,C,96,6,1,1
Joseph,F,80,6,4,1
Michael,S,69,7,6,0
Hellen,H,60,6,0,0
Kenneth,D,15,7,7,0
Kenneth,W,76,7,12,1
Thomas,P,60,6,4,0
Constance,Z,58,9,23,0
Jennifer,W,71,8,13,0
Stephanie,P,18,9,3,0
Joseph,C,22,6,7,0
Robert,G,48,6,11,0
Ashlee,C,17,6,2,0
Karen,Y,80,5,14,1
Joseph,R,60,6,8,0
Angela,N,20,6,13,0
Eric,N,39,4,9,0
Phyllis,R,29,7,2,0
Erica,G,91,5,2,1
Cathy,C,90,5,0,1
Beverly,E,38,7,3,0
Mary,D,92,4,9,1
Nathaniel,V,90,9,8,1
Brian,G,49,5,5,0
Christopher,T,10,11,17,0
Patrick,S,29,7,3,0
Melissa,B,21,7,11,0
Randall,O,55,7,3,0
Roland,J,71,6,8,0
Steven,C,61,6,16,0
Jon,J,32,3,0,0
David,U,24,5,17,0
Benjamin,F,5,8,4,0
Thelma,P,55,6,4,0
Elizabeth,K,74,9,6,0
Mark,W,82,4,10,1
Hubert,X,95,6,16,1
Mark,Q,5,4,4,0
Matthew,H,56,7,5,0
Helen,R,53,5,10,0
Vernon,P,69,6,6,0
Kerry,I,52,5,2,0
Michelle,H,71,8,5,0
Mildred,X,83,7,11,1
Vanetta,W,44,7,1,0
Keith,Q,87,5,6,1
Steven,Z,15,6,7,0
Daria,Z,81,5,22,1
Tammy,S,72,5,1,0
Jeanne,K,42,6,1,0
Sandy,O,84,5,4,1
Andrew,B,15,6,1,0
Jennifer,H,100,8,2,1
Jeffery,U,11,7,11,0
Andrew,O,63,6,14,0
Michael,V,94,7,9,1
Frank,Y,91,5,19,1
Doris,V,46,5,18,0
Amos,L,84,4,11,1
Andy,O,93,4,14,1
Benjamin,Z,37,8,24,0
Diana,P,27,5,12,0
Craig,Y,99,5,22,1
James,Z,15,5,16,0
David,B,16,5,2,0
Heather,K,69,7,3,0
Lloyd,I,42,5,3,0
Seth,R,68,4,1,0
Eduardo,J,63,7,5,0
Charles,B,79,7,1,1
Geneva,D,95,6,3,1
Jim,Y,76,3,15,1
Racheal,X,69,7,6,0
Vanessa,E,64,7,17,0
Lora,H,91,4,4,1
Marshall,O,27,8,2,0
Mark,X,69,4,11,0
Richard,A,55,7,17,0
Dorothy,Z,34,7,22,0
Nicholas,Y,75,8,11,0
Elroy,M,62,5,8,0
Ruth,M,64,4,5,0
Sheldon,D,83,7,15,1
Heather,G,30,7,1,0
Mary,J,14,4,3,0
Olive,M,84,5,2,1
Matthew,D,98,7,9,1
Brian,Y,100,5,23,1
Verna,G,8,5,15,0
William,E,14,7,18,0
Bret,U,44,4,19,0
Randy,B,35,5,16,0
Edgar,B,66,5,3,0
Kerri,T,66,5,9,0
Rodolfo,U,79,7,3,1
Roberto,T,60,7,2,0
Kenneth,X,19,7,13,0
Jack,X,5,4,14,0
Jane,U,95,4,11,1
Robbin,M,27,6,5,0
Catherine,X,40,9,21,0
David,O,68,5,11,0
Ann,F,58,3,5,0
Katelyn,A,25,7,10,0
Rosalie,J,39,7,8,0
David,A,84,5,3,1
Eric,T,88,4,15,1
Brian,E,88,5,3,1
Raymond,X,52,7,6,0
Laura,N,31,5,2,0
Denise,T,53,6,16,0
Tyler,Y,10,5,5,0
Louise,N,13,6,2,0
Noreen,W,62,6,9,0
Constance,E,88,9,2,1
Christina,Z,87,9,23,1
Richard,D,75,7,14,0
Donna,F,80,5,2,1
Deidra,M,9,6,9,0
Herman,C,47,6,5,0
Clara,A,94,5,2,1
James,C,46,5,7,0
Chad,W,26,4,20,0
Richard,U,8,7,3,0
Joe,Q,19,3,7,0
Annita,A,35,6,0,0
Marcus,K,2,6,2,0
Ashley,H,63,6,7,0
Herbert,T,54,7,12,0
Minnie,L,36,6,1,0
Jerry,E,65,5,5,0
Mary,C,66,4,10,0
Cierra,M,0,6,10,0
Jennifer,P,93,8,6,1
Pamela,N,74,6,2,0
Crystal,V,22,7,19,0
Patricia,I,71,8,7,0
Steven,X,58,6,5,0
Robert,E,39,6,13,0
David,B,88,5,2,1
James,R,58,5,8,0
Howard,W,26,6,15,0
Sherry,X,0,6,5,0
Nathan,Z,85,6,12,1
Sonja,W,86,5,4,1
Michael,G,52,7,6,0
Mary,A,99,4,12,1
John,Z,41,4,16,0
Joan,O,96,4,5,1
Cheryl,X,60,6,21,0
Andrea,C,82,6,2,1
Carl,B,10,4,1,0
Kayla,L,100,5,1,1
Herbert,Z,63,7,18,0
Phyllis,C,26,7,13,0
Tina,E,60,4,15,0
Kevin,O,93,5,4,1
Sylvia,V,80,6,3,1
Raymond,Z,62,7,8,0
Beulah,W,50,6,21,0
Cassandra,C,73,9,0,0
Renee,M,70,5,5,0
Keri,Q,17,4,6,0
Harriet,I,25,7,1,0
Susan,E,43,5,14,0
James,S,19,5,9,0
Kay,H,81,3,3,1
Dorothy,C,8,7,1,0
Lloyd,Y,31,5,13,0
Anthony,P,86,7,15,1
Josefina,P,53,8,6,0
Larry,A,84,5,11,1
Leroy,A,24,5,11,0
Randy,B,23,5,16,0
Karen,T,81,5,9,1
Glenda,F,41,6,1,0
Jose,N,73,4,4,0
Margaret,P,96,8,3,1
Elizabeth,D,7,9,1,0
Judy,S,46,4,9,0
Joel,K,100,4,1,1
Lindsay,O,48,7,3,0
Jewell,U,36,6,11,0
Anthony,F,28,7,5,0
Michael,M,47,7,0,0
Bridget,P,80,7,14,1
Sue,T,77,3,1,1
Sharon,K,51,6,8,0
Donald,O,51,6,11,0
Mary,O,62,4,2,0
Charlie,Y,3,7,22,0
Lola,W,16,4,11,0
Ruth,J,60,4,8,0
Joseph,X,51,6,14,0
Donald,W,8,6,19,0
Margaret,N,33,8,1,0
Jo,P,7,2,6,0
Chelsea,D,1,7,1,0
Ruben,S,22,5,1,0
Natosha,Q,23,7,3,0
George,M,24,6,6,0
Mary,C,82,4,10,1
Barbara,T,5,7,18,0
Richard,V,83,7,4,1
Gladys,H,30,6,1,0
Helen,V,62,5,14,0
Percy,D,56,5,12,0
Sharon,K,43,6,8,0
Andrew,F,45,6,5,0
Patricia,R,74,8,2,0
Glen,D,60,4,3,0
Ruth,J,81,4,8,1
Catherine,K,4,9,8,0
Rico,U,26,4,3,0
Anna,W,3,4,22,0
Dawn,C,22,4,1,0
Brian,T,94,5,18,1
Teresa,D,19,6,16,0
Donald,U,18,6,17,0
Lucy,C,74,4,9,0
Israel,J,74,6,1,0
Shad,P,26,4,3,0
Miranda,C,74,7,10,0
Mary,Z,38,4,13,0
Paula,D,39,5,12,0
Barbara,B,91,7,0,1
Michell,L,19,7,1,0
Christopher,C,17,11,0,0
Tom,M,3,3,7,0
Jeanne,G,83,6,3,1
Stella,U,65,6,2,0
Anita,C,45,5,2,0
Deborah,X,41,7,20,0
Carolyn,X,39,7,21,0
Susanna,A,31,7,18,0
Angele,K,24,6,10,0
Naomi,C,64,5,11,0
Thomas,E,94,6,15,1
Loretta,Q,4,7,5,0
Annalisa,R,73,8,17,0
Shawn,R,41,5,1,0
Andrew,I,75,6,8,0
John,U,33,4,11,0
Chanda,U,86,6,18,1
Kristen,D,34,7,7,0
Mario,N,61,5,1,0
Keith,M,25,5,2,0
Kenneth,Y,96,7,14,1
Mary,O,85,4,2,1
Francis,C,66,7,3,0
Ashley,F,85,6,5,1
Charles,W,82,7,20,1
Kim,B,100,3,9,1
Hollis,X,30,6,16,0
Gloria,V,32,6,15,0
William,H,38,7,15,0
Bobbie,R,77,6,16,1
Rita,R,73,4,0,0
Andrew,Q,77,6,16,1
Kathryn,I,4,7,2,0
Mary,E,46,4,8,0
Tammi,L,100,5,8,1
Anita,X,25,5,23,0
Leslie,W,19,6,11,0
Joe,U,64,3,11,0
Jason,L,85,5,2,1
Ophelia,W,5,7,8,0
John,C,74,4,7,0
Dean,Z,18,4,22,0
Lowell,H,83,6,4,1
Anthony,O,12,7,14,0
Stephanie,J,80,9,9,1
Kevin,T,5,5,9,0
William,A,77,7,22,1
James,O,36,5,5,0
John,H,6,4,2,0
Orlando,B,20,7,13,0
Jennifer,L,62,8,2,0
Cherie,L,64,6,9,0
Shelia,R,46,6,1,0
Daniel,U,23,6,17,0
Melissa,V,71,7,9,0
John,M,38,4,3,0
Casey,Q,96,5,14,1
Lala,L,20,4,0,0
Robert,C,17,6,15,0
Michael,R,53,7,5,0
Theodore,C,81,8,17,1
Nancy,R,34,5,4,0
Sherri,O,35,6,4,0
Rachelle,B,93,8,16,1
William,G,33,7,16,0
Samantha,O,81,8,4,1
Lilia,M,80,5,1,1
Lisa,O,15,4,3,0
Richard,X,26,7,6,0
Donald,F,89,6,2,1
Christine,H,37,9,5,0
William,B,59,7,21,0
Joanna,P,50,6,6,0
